URL,Owner,Repo,Severity,Type,Score,Cyrillic,Entropy Files,YARA Matches,Status
https://github.com/EmpowerKingdom/Escape-from-Tarkov-External-Esp-Aimbot-Hack-Cheat-Tool,EmpowerKingdom,Escape-from-Tarkov-External-Esp-Aimbot-Hack-Cheat-Tool,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/jms454/Escape-from-Tarkov-External-Esp-Aimbot-Hack-Cheat-Tool,jms454,Escape-from-Tarkov-External-Esp-Aimbot-Hack-Cheat-Tool,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/Escape-From-Tarkov-Hack-2025/.github,Escape-From-Tarkov-Hack-2025,.github,HIGH,YARA_MATCH,65,False,0,1,PENDING
https://github.com/EFT-ESP-Visual-Assist-Tool/eft-esp-assistant-tool,EFT-ESP-Visual-Assist-Tool,eft-esp-assistant-tool,LOW,PATTERN_MATCH,31,False,0,0,PENDING
https://github.com/lbrzohnyb/.github,lbrzohnyb,.github,HIGH,YARA_MATCH,86,False,0,1,PENDING
https://github.com/staf17goat/Tarkov-Hack-Pro,staf17goat,Tarkov-Hack-Pro,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/gandis2000tu/Tarkov-Wallhack,gandis2000tu,Tarkov-Wallhack,HIGH,YARA_MATCH,94,False,0,1,PENDING
https://github.com/masterawp0566/EFT25Pro,masterawp0566,EFT25Pro,LOW,PATTERN_MATCH,21,False,0,0,PENDING
https://github.com/inkeynardur8/DeltaXploit,inkeynardur8,DeltaXploit,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/cranrunewall817/WarCore,cranrunewall817,WarCore,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/beepbeepwheel858/SilentScope,beepbeepwheel858,SilentScope,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/titaniumboy8351/tarkov-edge,titaniumboy8351,tarkov-edge,HIGH,YARA_MATCH,76,False,0,3,PENDING
https://github.com/woodoo2bear/tarkov-tactical-tools,woodoo2bear,tarkov-tactical-tools,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/kisskabigboy477/tarkovx,kisskabigboy477,tarkovx,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/stanbigcarl98/tarkovx,stanbigcarl98,tarkovx,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/gridercoverbang/TarkovEscapeAssist,gridercoverbang,TarkovEscapeAssist,HIGH,YARA_MATCH,92,False,0,3,PENDING
https://github.com/boogabeargoblin924/TarkovExtra,boogabeargoblin924,TarkovExtra,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/driedmouse5417/tarkovx,driedmouse5417,tarkovx,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/sliper23borne/tarkovx,sliper23borne,tarkovx,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/dittealtend870/TarkovEscapeAid,dittealtend870,TarkovEscapeAid,HIGH,YARA_MATCH,92,False,0,3,PENDING
https://github.com/bethovennelson769/eft-workspace,bethovennelson769,eft-workspace,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/mountainman4877/escape-tarkov-assist,mountainman4877,escape-tarkov-assist,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/anarasius636/Escape-Hack-Mod,anarasius636,Escape-Hack-Mod,HIGH,YARA_MATCH,78,False,0,1,PENDING
https://github.com/grandpamouth632/EFT-Hack-Tool,grandpamouth632,EFT-Hack-Tool,HIGH,YARA_MATCH,86,False,0,1,PENDING
https://github.com/everguy47/tarkov-hack,everguy47,tarkov-hack,HIGH,YARA_MATCH,84,False,0,3,PENDING
https://github.com/darkangeljust93/TarkovExtra,darkangeljust93,TarkovExtra,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/DErDYAST1R/BEKernelDriverUpdated,DErDYAST1R,BEKernelDriverUpdated,HIGH,YARA_MATCH,70,False,0,2,PENDING
https://github.com/Tarkov-Cheats-en612/.github,Tarkov-Cheats-en612,.github,HIGH,YARA_MATCH,38,False,0,1,PENDING
https://github.com/Escape-From-Tarkov-Private-Cheat-aTnq3B/.github,Escape-From-Tarkov-Private-Cheat-aTnq3B,.github,HIGH,YARA_MATCH,84,False,0,3,PENDING
https://github.com/Escape-from-Tarkov-ESP-Aimbot-Assistant/eft-esp-aimbot-assist,Escape-from-Tarkov-ESP-Aimbot-Assistant,eft-esp-aimbot-assist,LOW,PATTERN_MATCH,31,False,0,0,PENDING
https://github.com/mulhaladonrol/tarkov-escape-tool,mulhaladonrol,tarkov-escape-tool,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/tarosvampir69/tarkov-escape-tool,tarosvampir69,tarkov-escape-tool,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/wuddlyunicorn91/Tarkov-Hack-Injector,wuddlyunicorn91,Tarkov-Hack-Injector,HIGH,YARA_MATCH,100,False,0,4,PENDING
https://github.com/kirik1237/EFTRevenant,kirik1237,EFTRevenant,HIGH,YARA_MATCH,100,False,0,4,PENDING
https://github.com/eatmestar55/TarkovWraith,eatmestar55,TarkovWraith,HIGH,YARA_MATCH,93,False,0,2,PENDING
https://github.com/forever-Tarkov-Aimbot/.github,forever-Tarkov-Aimbot,.github,HIGH,YARA_MATCH,38,False,0,1,PENDING
https://github.com/bamp78vortex/tarkov-esp-aimbot-hack,bamp78vortex,tarkov-esp-aimbot-hack,HIGH,YARA_MATCH,100,False,0,2,PENDING
https://github.com/crystalnysson2572/tarkov-esp-aimbot-hack,crystalnysson2572,tarkov-esp-aimbot-hack,HIGH,YARA_MATCH,100,False,0,2,PENDING
https://github.com/Tarkov-External-Cheat-Aimbot-Wallhack/Tarkov-Aimbot,Tarkov-External-Cheat-Aimbot-Wallhack,Tarkov-Aimbot,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/spydragongekata98/zzyqwqqw,spydragongekata98,zzyqwqqw,HIGH,YARA_MATCH,99,False,0,4,PENDING
